32	0197	保呂羽山	None	None	None
32	0198	横手	32596	000	21
32	0199	にかほ	32616	000	21
32	0200	矢島	32626	000	21
32	0201	三森山	None	None	None
32	0202	湯沢	32691	000	21
32	0203	姥井戸山	None	None	None
32	0204	湯の岱	32771	000	21
33	0205	種市	33006	000	22
33	0206	軽米	33026	000	22
33	0207	二戸	33071	000	22
33	0208	折爪岳	None	None	None
33	0209	久慈	33146	000	22
33	0210	西岳	None	None	None
33	0211	葛巻	33186	000	22
33	0212	袖山	None	None	None
33	0213	茶臼岳	None	None	None
33	0214	岩手松尾	33226	000	22
33	0215	岩手山	None	None	None
33	0216	岩洞	None	None	None
33	0217	大森山	None	None	None
33	0218	岩泉	33326	000	22
33	0219	駒ケ岳	None	None	None
33	0220	害鷹森	None	None	None
33	0221	雫石	33421	000	22
33	0224	薬師岳	None	None	None
33	0225	黒森山	None	None	None
33	0226	豊沢	33566	000	22
33	0227	花巻	33576	000	22
33	0228	大迫	33581	000	22
33	0229	湯田	33631	000	22
33	0230	北上	33716	000	22
33	0231	遠野	33671	000	22
33	0232	五葉山	None	None	None
33	0233	釜石	33751	000	22
33	0234	岳山	None	None	None
33	0235	若柳	33776	000	22
33	0236	江刺	33781	000	22
33	0238	一関	33911	000	22
33	0239	千厩	33921	000	22
33	0240	室根山	None	None	None
34	0241	栗駒山	None	None	None
34	0242	気仙沼	34026	000	23
34	0243	川渡	34096	000	23
34	0244	築館	34111	000	23
34	0245	箕輪山	None	None	None
34	0246	志津川	34186	000	23
34	0247	古川	34216	000	23
34	0248	大衡	34266	000	23
34	0249	鹿島台	34276	000	23
34	0251	新川	34311	000	23
34	0252	鷹巣山	None	None	None
34	0254	川崎	None	None	None
34	0255	不忘山	None	None	None
34	0256	白石	34461	000	23
34	0257	亘理	34471	000	23
35	0258	鳥海山	None	None	None
35	0260	差首鍋	35071	000	24
35	0261	太平山	None	None	None
35	0262	金山	35116	000	24
35	0263	鶴岡	35141	000	24
35	0264	狩川	35146	000	24
35	0266	瀬見	35171	000	24
35	0267	温海岳	None	None	None
35	0268	櫛引	35201	000	24
35	0269	月山	None	None	None
35	0270	銀山	None	None	None
35	0271	楯岡	None	None	None
35	0272	左沢	35376	000	24
35	0274	葉山	None	None	None
35	0275	長井	35456	000	24
35	0276	蔵王山	None	None	None
35	0277	小国	35486	000	24
35	0278	高峰	35541	000	24
35	0279	米沢	35552	000	24
35	0280	西吾妻山	None	None	None
36	0281	梁川	36066	000	25
36	0282	稲荷峠	None	None	None
36	0283	吾妻山	None	None	None
36	0285	相馬	36151	000	25
36	0286	喜多方	36176	000	25
36	0287	八木沢	None	None	None
36	0288	原町	36231	000	25
36	0289	飯谷山	None	None	None
36	0290	猪苗代	36276	000	25
36	0291	二本松	36291	000	25
36	0292	白馬石山	None	None	None
36	0294	船引	36391	000	25
36	0295	浪江	36411	000	25
36	0296	浅草岳	None	None	None
36	0297	只見	36426	000	25
36	0298	博士峠	None	None	None
36	0299	郡山	36476	000	25
36	0300	富岡	36511	000	25
36	0301	南郷	36536	000	25
36	0302	駒止峠	None	None	None
36	0303	田島	36641	000	25
36	0304	小野新町	36591	000	25
36	0305	観音山	None	None	None
36	0307	石川	36676	000	25
36	0308	山王峠	None	None	None
36	0309	大辷山	None	None	None
36	0310	平	36781	000	25
36	0311	田代山	None	None	None
