18	0085	標津	根室地方	43.66166666666667	145.13166666666666	3	18136	000	15
18	0086	中標津	根室地方	43.54333333333334	144.97833333333332	50	18171	000	15
18	0087	計根別	根室地方	43.485	144.80833333333334	110	None	None	None
18	0088	別海	根室地方	43.38166666666667	145.11833333333334	23	18256	000	15
19	0090	川湯	釧路地方	43.61666666666667	144.45666666666668	158	19021	000	15
19	0091	阿寒湖畔	釧路地方	43.43666666666667	144.085	450	19076	000	15
19	0092	弟子屈	釧路地方	43.47833333333333	144.44666666666666	107	None	None	None
19	0093	標茶	釧路地方	43.291666666666664	144.58666666666667	20	19151	000	15
19	0094	幌呂台地	釧路地方	43.278333333333336	144.22666666666666	225	None	None	None
19	0095	中徹別	釧路地方	43.19833333333333	144.14166666666668	80	19261	000	15
19	0096	阿寒	釧路地方	43.11333333333334	144.12333333333333	40	19346	000	15
19	0097	霧多布	釧路地方	43.07666666666667	145.12833333333333	2	None	None	None
19	0098	白糠	釧路地方	42.97	144.06166666666667	9	19416	000	15
20	0100	軍艦山	十勝地方	43.47833333333333	143.12666666666667	900	None	None	None
20	0101	陸別	十勝地方	43.468333333333334	143.73833333333334	207	20146	000	16
20	0102	殖産高地	十勝地方	43.435	143.695	419	None	None	None
20	0103	ぬかびら源泉郷	十勝地方	43.36666666666667	143.19166666666666	540	20186	000	16
20	0104	小坂山	十勝地方	43.39666666666667	143.48333333333332	740	None	None	None
20	0105	上足寄	十勝地方	43.35666666666667	143.80166666666668	384	None	None	None
20	0106	西ヌプカウシ山	十勝地方	43.24166666666667	143.07	760	None	None	None
20	0107	上士幌	十勝地方	43.235	143.30333333333334	295	20266	000	16
20	0108	幌安山	十勝地方	43.248333333333335	143.445	440	None	None	None
20	0109	足寄	十勝地方	43.24333333333333	143.55333333333334	90	20276	000	16
20	0110	佐幌岳	十勝地方	43.175	142.785	900	None	None	None
20	0111	三角山	十勝地方	43.196666666666665	142.96833333333333	560	None	None	None
20	0112	本別	十勝地方	43.13166666666667	143.6	67	20341	000	16
20	0113	新得	十勝地方	43.07666666666667	142.84	178	20356	000	16
